,,
,,
Qty,Reference(s),Value
26,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26",100n
1,C27,10u
2,"C28, C30",22u
1,C29,10n
5,"D1, D2, D3, D4, D5",LED_Small_Filled
2,"F1, F2",Polyfuse_Small
1,J1,Raspberry_Pi
6,"J2, J3, J4, J5, J6, J10",Screw_Terminal_01x02
6,"J7, J11, J12, J13, J14, J15",Screw_Terminal_01x04
2,"J8, J9",Conn_01x02_Pin
16,"J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29, J30, J31",Screw_Terminal_01x03
4,"R1, R3, R4, R5",1K
1,R2,4K7
1,U1,TSR_1-2450
1,U2,TSR_1-2433
13,"U3, U5, U7, U9, U11, U13, U14, U15, U16, U17, U18, U20, U22",Ï€120U30
8,"U4, U6, U8, U10, U12, U19, U21, U23",74LVC2G34
